LIQUIDITY_POOL_ADDRESS,MINT,TOTAL_ADDED_LIQUIDITY,TOTAL_REMOVED_LIQUIDITY,NUM_LIQUIDITY_ADDS,NUM_LIQUIDITY_REMOVES,ADD_TO_REMOVE_RATIO,LAST_POOL_ACTIVITY_TIMESTAMP,FIRST_POOL_ACTIVITY_TIMESTAMP,LAST_SWAP_TIMESTAMP,LAST_SWAP_TX_ID,INACTIVITY_STATUS
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,131.42666,37.879524,4,2,3.469596397,2021-12-30 22:26:30.000,2021-12-30 21:55:04.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,5L87fjh5XZWERN4UGbK62TM1funxFvXSRUGmvbHBGqn1,646727386.954862,747078831.863463,4,2,0.8656748918,2021-12-30 22:26:30.000,2021-12-30 21:55:04.000,2021-12-30 23:38:46.000,488GCPFm1ihmBWpPU5XLUKmQ9pv95nH2YK9mLmMCe2cPjsFCvoaNRWVhuTEaHqhgZyfVfmzVTFV1CgvvAgWD1Q2,Active
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,A94X2fRy3wydNShU4dRaDyap2UuoeWJGWyATtyp61WZf,5015108.257305,6.499965,6,1,771559.271058383,2021-12-30 19:59:48.000,2021-12-30 15:52:23.000,2021-12-30 15:50:38.000,3WjV1MZRPzxXVtBxHQHqmwS5o753TxLbDHVQBK7o4RTbs3EbZEWo7jpTheAj22FmCjhh7TnUz9WemRS4DrKfgL2r,Active
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,9QBTKuSCDaJjtxYnYcVzoiKENMdJ5DRei5ZUCEeWyZnj,5000006.419996,12827.293194,2,2,389.79435056,2021-12-30 20:30:32.000,2021-12-30 15:52:23.000,2021-12-30 20:33:37.000,4EAfive4YKxMADHjkPQGaTcaZSmfEPNnoQzwjsoG8qTmhGYJkC1H6beVjTpsFD9TYSgxnNm5FkkEo9aB43NJrwWD,Active
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,meebAU3nZrU5PbUt3dVK6ExgbNWCUAkV7C3DaJKMZZ4,2.643478924,29.557369342,2,4,0.08943552768,2021-12-30 06:35:34.000,2021-12-30 00:57:19.000,2021-12-30 12:47:59.000,5VMihUzTRRCefqtDaUtKeLBDNCtMYJJ2NHzLsUUbMrv4f99JYw8p9mWLBMGgZAbKHkDNQaiqq7FAw2gPFRrPECsc,Active
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,2,52.209692,2,4,0.03830706375,2021-12-30 06:35:34.000,2021-12-30 00:57:19.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,12641.498451348,9615.598556372,20,8,1.314686587,2021-12-30 19:39:27.000,2021-12-29 21:18:21.000,2021-12-30 23:46:09.000,5quqtE5qzb8yoDD6iXDzw29UQDZDY1BYQHXH2sRk6riGgswzhnvexhbHV18MTiLueReM1CsPMyvqaq2UfEWqz98H,Active
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6802.039276,6281.932848,20,8,1.082794013,2021-12-30 19:39:27.000,2021-12-29 21:18:21.000,2021-12-30 23:59:51.000,2kv8H9AAxXfjpG1drweF2wrzzLixJDFSChRzmWtFKSWmJUFvTyNscQQ4xh3y9xCfJ6Bqu5CKdTPPDYJqzm921Wwi,Active
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,4.44,507.138224,2,2,0.008755009561,2021-12-30 06:30:27.000,2021-12-29 19:28:59.000,2021-12-30 23:59:52.000,3NPujARykRYb85W7berMqmBbyfGLcDt8kw7GiJqTBJ7ug3ueAHQiEKH4vmRrGgRQqkzB3h1Ebs8rY6uqhn1ciFvo,Active
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,7Af1biRuBcAQTEU3YkWaGGtQDFoxYmqLMyrBNQKnuogn,5460540.66273231,639522748.334339,2,2,0.008538461966,2021-12-30 06:30:27.000,2021-12-29 19:28:59.000,2021-12-30 23:21:23.000,4w1VEo5oxurjzy8o5Q8DvffGGHVsUeZfDXUXus7U78ZV2MLwSuAtzzwMSwZgV3nzmbTYNVejRShTTnjUSejF3QtA,Active
